DATE,LAI,FAPAR,FG
2012-01-01,0.33870967741935487,0.2129032258064516,0.39307348772873707
2012-01-02,0.33548387096774196,0.21161290322580645,0.3958346031801804
2012-01-03,0.33225806451612905,0.21036290322580645,0.3988524221025941
2012-01-04,0.32903225806451614,0.20915322580645163,0.4021269444959784
2012-01-05,0.3258064516129032,0.20798387096774193,0.40565817036033314
2012-01-06,0.32258064516129037,0.20685483870967744,0.40944609969565837
2012-01-07,0.31935483870967746,0.20576612903225808,0.4134907325019541
2012-01-08,0.31612903225806455,0.2047177419354839,0.41779206877922026
2012-01-09,0.31290322580645163,0.2037096774193549,0.42235010852745697
2012-01-10,0.3096774193548387,0.202741935483871,0.4271648517466642
2012-01-11,0.3060483870967742,0.20153225806451616,0.431900375035367
2012-01-12,0.30201612903225805,0.20008064516129034,0.4365566783935655
2012-01-13,0.2975806451612903,0.19838709677419356,0.4411337618212597
2012-01-14,0.29274193548387095,0.19645161290322585,0.4456316253184495
2012-01-15,0.2875,0.19427419354838713,0.450050268885135
2012-01-16,0.2818548387096774,0.19185483870967743,0.45438969252131617
2012-01-17,0.2983870967741935,0.20338709677419353,0.48485479540890875
2012-01-18,0.31451612903225806,0.21467741935483872,0.5152406783659971
2012-01-19,0.33024193548387093,0.22588709677419358,0.5458605840179654
2012-01-20,0.3455645161290322,0.2370161290322581,0.5767145123648139
2012-01-21,0.3604838709677419,0.24806451612903224,0.6078024634065424
2012-01-22,0.375,0.25903225806451613,0.639124437143151
2012-01-23,0.38911290322580644,0.2699193548387097,0.6706804335746399
2012-01-24,0.4028225806451613,0.2807258064516129,0.7024704527010086
2012-01-25,0.4161290322580645,0.29145161290322585,0.7344944945222578
2012-01-26,0.42903225806451617,0.3020967741935484,0.7667525590383866
2012-01-27,0.44233870967741934,0.31254032258064524,0.7983309975047926
2012-01-28,0.4560483870967741,0.3227822580645162,0.829229809921475
2012-01-29,0.47016129032258064,0.3328225806451614,0.8594489962884339
2012-01-30,0.48467741935483877,0.3426612903225807,0.8889885566056701
2012-01-31,0.4995967741935484,0.35229838709677425,0.9178484908731828
2012-02-01,0.5149193548387098,0.361733870967742,0.9460287990909723
2012-02-02,0.511290322580645,0.35806451612903234,0.9445634666256795
2012-02-03,0.5080645161290323,0.35415322580645164,0.9421618046396928
2012-02-04,0.5048387096774194,0.3502016129032259,0.939718213024816
2012-02-05,0.5016129032258065,0.3462096774193549,0.9372326917810493
2012-02-06,0.4983870967741937,0.34217741935483864,0.9347052409083925
2012-02-07,0.4951612903225806,0.33810483870967745,0.9321358604068457
2012-02-08,0.49193548387096775,0.33399193548387096,0.9295245502764088
2012-02-09,0.48870967741935484,0.32983870967741946,0.926871310517082
2012-02-10,0.48548387096774187,0.32564516129032267,0.9241761411288649
2012-02-11,0.4826612903225806,0.3216935483870968,0.9217749655132329
2012-02-12,0.480241935483871,0.31798387096774205,0.9196677836701855
2012-02-13,0.4782258064516129,0.31451612903225806,0.9178545955997229
2012-02-14,0.4766129032258066,0.3112903225806451,0.9163354013018451
2012-02-15,0.47540322580645167,0.3083064516129033,0.9151102007765521
2012-02-16,0.4745967741935484,0.3055645161290323,0.914178994023844
2012-02-17,0.4741935483870968,0.3030645161290323,0.9135417810437203
2012-02-18,0.4741935483870968,0.30080645161290326,0.9131985618361816
2012-02-19,0.4745967741935484,0.2986290322580646,0.9128360937758434
2012-02-20,0.47540322580645156,0.29653225806451616,0.9124543768627054
2012-02-21,0.4766129032258064,0.2945161290322581,0.9120534110967677
2012-02-22,0.47822580645161283,0.29258064516129034,0.9116331964780305
2012-02-23,0.48024193548387084,0.29072580645161294,0.9111937330064936
2012-02-24,0.48266129032258054,0.28895161290322585,0.9107350206821574
2012-02-25,0.4854838709677418,0.28725806451612906,0.9102570595050207
2012-02-26,0.48870967741935467,0.28564516129032264,0.909759849475085
2012-02-27,0.49153225806451595,0.284233870967742,0.9101570393369531
2012-02-28,0.49395161290322565,0.28302419354838715,0.9112691597720256
2012-02-29,0.49596774193548365,0.28201612903225814,0.913096210780304
2012-03-01,0.4975806451612902,0.2812096774193549,0.9156381923617878
2012-03-02,0.49879032258064493,0.28060483870967745,0.9188951045164762
2012-03-03,0.4995967741935482,0.28020161290322587,0.9228669472443698
2012-03-04,0.4999999999999998,0.28,0.927553720545469
2012-03-05,0.4999999999999998,0.28,0.9329554244197731
2012-03-06,0.4999999999999998,0.28,0.9381776589754786
2012-03-07,0.4999999999999998,0.27979838709677424,0.9426915581605733
2012-03-08,0.4999999999999998,0.2793951612903226,0.9464971219750571
2012-03-09,0.4999999999999998,0.2787903225806452,0.9495943504189291
2012-03-10,0.4999999999999998,0.277983870967742,0.9519832434921907
2012-03-11,0.4999999999999998,0.27697580645161296,0.9536638011948408
2012-03-12,0.4999999999999998,0.2757661290322581,0.9546360235268803
2012-03-13,0.4999999999999998,0.2743548387096775,0.9548999104883084
2012-03-14,0.4999999999999998,0.272741935483871,0.9544554620791253
2012-03-15,0.5004032258064515,0.2714112903225807,0.9542373876207179
2012-03-16,0.5012096774193546,0.2703629032258065,0.9542456871130863
2012-03-17,0.5024193548387095,0.26959677419354844,0.9544803605562299
2012-03-18,0.504032258064516,0.2691129032258065,0.9549414079501494
2012-03-19,0.506048387096774,0.26891129032258065,0.9556288292948445
2012-03-20,0.5084677419354837,0.268991935483871,0.956542624590315
2012-03-21,0.511290322580645,0.26935483870967747,0.9576827938365612
2012-03-22,0.514516129032258,0.27,0.9590493370335833
2012-03-23,0.5177419354838708,0.2705846774193549,0.9600943587405386
