,TIMESTAMP,DATE,TOD,LAI,TA_F,SW_IN_F,LST,LE,H,TSEB_QC,NETRAD
34571,2020-12-21 05:45:00,2020-12-21,5.75,1.0278225806451613,276.263,0.0,276.4367180529935,0.0,-29.448097,5,-35.664058685302734
34572,2020-12-21 06:15:00,2020-12-21,6.25,1.0278225806451613,276.435,0.0,276.6422162455542,0.0,-31.803528,5,-36.96969032287598
34573,2020-12-21 06:45:00,2020-12-21,6.75,1.0278225806451613,276.339,0.0,276.44302596039716,0.0,-30.95802,5,-36.36632823944092
34574,2020-12-21 07:15:00,2020-12-21,7.25,1.0278225806451613,275.991,0.0,276.18806162522856,0.0,-27.913584,5,-33.768449783325195
34575,2020-12-21 07:45:00,2020-12-21,7.75,1.0278225806451613,275.777,0.0,275.8877348313256,0.0,-30.42933,5,-35.64155673980713
34576,2020-12-21 08:15:00,2020-12-21,8.25,1.0278225806451613,275.86199999999997,0.0,275.9351601206992,0.0,-27.665676,5,-33.3990364074707
34577,2020-12-21 08:45:00,2020-12-21,8.75,1.0278225806451613,275.681,24.044,275.8113643269323,0.0,-13.903579,5,-15.929136122266684
34578,2020-12-21 09:15:00,2020-12-21,9.25,1.0278225806451613,277.108,75.76,277.00978634723003,13.803935,1.4347961,0,20.247777113028903
34579,2020-12-21 09:45:00,2020-12-21,9.75,1.0278225806451613,279.635,141.71,279.5649388318854,44.671608,10.992773,0,66.02910229568596
34580,2020-12-21 10:15:00,2020-12-21,10.25,1.0278225806451613,281.132,216.925,281.28576758970314,75.841644,21.685162,0,110.88597242636297
34581,2020-12-21 10:45:00,2020-12-21,10.75,1.0278225806451613,282.409,315.215,282.6545742616847,121.21971,39.17829,0,172.481675490773
34582,2020-12-21 11:15:00,2020-12-21,11.25,1.0278225806451613,284.0,379.834,284.1280112970315,157.0416,46.44089,0,215.65888667794252
34583,2020-12-21 11:45:00,2020-12-21,11.75,1.0278225806451613,284.866,425.596,285.66373290204484,186.09344,56.556805,0,257.88703296141364
34584,2020-12-21 12:15:00,2020-12-21,12.25,1.0278225806451613,285.438,395.727,286.44363651892525,164.28998,43.145912,0,230.9004805773261
34585,2020-12-21 12:45:00,2020-12-21,12.75,1.0278225806451613,285.428,429.87,287.1601730566732,184.17242,59.690536,0,268.9322869859705
34586,2020-12-21 13:15:00,2020-12-21,13.25,1.0278225806451613,286.79699999999997,485.976,288.58676267650316,225.52986,60.85886,0,309.2346252019456
34587,2020-12-21 13:45:00,2020-12-21,13.75,1.0278225806451613,287.06199999999995,504.745,289.26501314029537,234.0867,76.370766,0,322.14279288568935
34588,2020-12-21 14:15:00,2020-12-21,14.25,1.0278225806451613,287.79999999999995,432.913,289.5462808945786,188.78577,55.503826,0,259.85132165428774
34589,2020-12-21 14:45:00,2020-12-21,14.75,1.0278225806451613,288.505,422.026,289.589397812503,184.95926,43.942196,0,235.45988265057906
34590,2020-12-21 15:15:00,2020-12-21,15.25,1.0278225806451613,289.056,377.348,289.5842811176673,162.09302,33.26346,0,196.5457856889816
34591,2020-12-21 15:45:00,2020-12-21,15.75,1.0278225806451613,289.46599999999995,312.24,289.3645929565888,122.08217,20.21391,0,143.0322334943428
34592,2020-12-21 16:15:00,2020-12-21,16.25,1.0278225806451613,289.803,245.831,288.76270618523165,83.34222,7.1210375,0,88.53813120461004
34593,2020-12-21 16:45:00,2020-12-21,16.75,1.0278225806451613,290.18199999999996,137.58,287.87448963607477,14.925416,-1.7120786,0,13.37436793012904
34594,2020-12-21 17:15:00,2020-12-21,17.25,1.0278225806451613,288.589,37.937,286.32178958854763,0.0,-39.84584,5,-48.07029863275781
34595,2020-12-21 17:45:00,2020-12-21,17.75,1.0278225806451613,285.84999999999997,10.723,284.6086603478705,0.0,-49.701065,5,-61.31312556644138
34596,2020-12-21 18:15:00,2020-12-21,18.25,1.0278225806451613,284.96299999999997,0.0,283.5533335192058,0.0,-54.25972,5,-66.95302391052246
34597,2020-12-21 18:45:00,2020-12-21,18.75,1.0278225806451613,283.171,0.0,282.47805491222243,0.0,-52.87098,5,-64.7256965637207
34598,2020-12-21 19:15:00,2020-12-21,19.25,1.0278225806451613,282.18399999999997,0.0,281.9919791544297,0.0,-58.385166,5,-68.36889839172363
34599,2020-12-21 19:45:00,2020-12-21,19.75,1.0278225806451613,281.582,0.0,281.44984103076627,0.0,-52.052986,5,-63.786142349243164
34600,2020-12-21 20:15:00,2020-12-21,20.25,1.0278225806451613,281.118,0.0,280.9402956535309,0.0,-50.04403,5,-62.02634239196777
34601,2020-12-21 20:45:00,2020-12-21,20.75,1.0278225806451613,280.823,0.0,280.5642886740071,0.0,-50.47197,5,-61.84773826599121
34602,2020-12-21 21:15:00,2020-12-21,21.25,1.0278225806451613,280.144,0.0,280.23659478089684,0.0,-50.92636,5,-62.49062156677246
34603,2020-12-21 21:45:00,2020-12-21,21.75,1.0278225806451613,279.863,0.0,280.02787164738567,0.0,-54.19844,5,-64.52893447875977
34604,2020-12-21 22:15:00,2020-12-21,22.25,1.0278225806451613,279.416,0.0,279.73215167839123,0.0,-54.52855,5,-64.54257774353027
34605,2020-12-21 22:45:00,2020-12-21,22.75,1.0278225806451613,279.414,0.0,279.63923462326073,0.0,-54.698982,5,-64.64579582214355
34606,2020-12-21 23:15:00,2020-12-21,23.25,1.0278225806451613,279.12699999999995,0.0,279.3774646268707,0.0,-53.515137,5,-63.70768356323242
34607,2020-12-21 23:45:00,2020-12-21,23.75,1.0278225806451613,278.51399999999995,0.0,278.91461437037884,0.0,-49.441353,5,-60.76550483703613
34608,2020-12-22 00:15:00,2020-12-22,0.25,1.033467741935484,278.678,0.0,278.7819864250928,0.0,-44.582664,5,-54.500244140625
34609,2020-12-22 00:45:00,2020-12-22,0.75,1.033467741935484,278.62899999999996,0.0,278.7168730549089,0.0,-43.294483,5,-52.8643741607666
34610,2020-12-22 01:15:00,2020-12-22,1.25,1.033467741935484,278.46099999999996,0.0,278.59129902537865,0.0,-48.20549,5,-56.9119815826416
34611,2020-12-22 01:45:00,2020-12-22,1.75,1.033467741935484,278.145,0.0,278.428074049378,0.0,-53.037437,5,-62.48390197753906
34612,2020-12-22 02:15:00,2020-12-22,2.25,1.033467741935484,277.447,0.0,277.91066150981084,0.0,-51.76577,5,-61.54241180419922
34613,2020-12-22 02:45:00,2020-12-22,2.75,1.033467741935484,277.43199999999996,0.0,277.7955291863281,0.0,-50.640907,5,-59.83467674255371
34614,2020-12-22 03:15:00,2020-12-22,3.25,1.033467741935484,277.4,0.0,277.70735924321696,0.0,-48.60646,5,-59.45222091674805
34615,2020-12-22 03:45:00,2020-12-22,3.75,1.033467741935484,276.94199999999995,0.0,277.31003043517063,0.0,-48.410683,5,-59.29344940185547
34616,2020-12-22 04:15:00,2020-12-22,4.25,1.033467741935484,276.606,0.0,276.98833954308344,0.0,-50.599197,5,-60.21730995178223
34617,2020-12-22 04:45:00,2020-12-22,4.75,1.033467741935484,276.599,0.0,276.9882082899009,0.0,-50.219204,5,-59.33853721618652
34618,2020-12-22 05:15:00,2020-12-22,5.25,1.033467741935484,276.69899999999996,0.0,277.04567087294663,0.0,-51.212555,5,-60.50765037536621
34619,2020-12-22 05:45:00,2020-12-22,5.75,1.033467741935484,276.578,0.0,276.98518518108784,0.0,-44.463715,5,-54.49481010437012
34620,2020-12-22 06:15:00,2020-12-22,6.25,1.033467741935484,276.873,0.0,277.0044102968796,0.0,-38.673096,5,-47.08999443054199
